date_us_open,tag,side,entry_time,entry,tp,sl,exit_time,exit,reason,pips
2025-02-17,base,short,2025-02-17 22:04:00+00:00,1.04688,1.046831,1.047551,2025-02-17 22:04:00+00:00,1.047651,SL,-7.71
2025-02-24,base,long,2025-02-24 16:55:00+00:00,1.04787,1.048516,1.04706,2025-02-24 17:07:00+00:00,1.04696,SL,-9.1
2025-02-28,base,long,2025-02-28 15:27:00+00:00,1.04147,1.041799,1.040764,2025-02-28 15:35:00+00:00,1.041799,TP,3.29
2025-02-28,base,short,2025-02-28 17:23:00+00:00,1.03928,1.039154,1.040189,2025-02-28 17:23:00+00:00,1.039154,TP,1.26
2025-02-28,reentry,short,2025-02-28 18:16:00+00:00,1.03863,1.038107,1.039902,2025-02-28 18:19:00+00:00,1.038107,TP,5.23
2025-02-28,base,long,2025-03-03 00:16:00+00:00,1.04147,1.041799,1.040764,2025-03-03 00:27:00+00:00,1.041799,TP,3.29
2025-02-28,reentry,long,2025-03-03 01:12:00+00:00,1.0423,1.042847,1.041052,2025-03-03 03:16:00+00:00,1.040952,SL,-13.48
2025-03-03,base,long,2025-03-03 20:05:00+00:00,1.04817,1.04866,1.047445,2025-03-03 20:05:00+00:00,1.047345,SL,-8.25
2025-03-05,base,long,2025-03-05 15:06:00+00:00,1.07646,1.07832,1.075188,2025-03-05 15:11:00+00:00,1.075088,SL,-13.72
2025-03-05,base,long,2025-03-05 15:57:00+00:00,1.07642,1.07832,1.075188,2025-03-05 16:09:00+00:00,1.07832,TP,19.0
2025-03-05,reentry,long,2025-03-05 17:41:00+00:00,1.07879,1.081036,1.075903,2025-03-06 01:42:00+00:00,1.081036,TP,22.46
2025-03-07,base,short,2025-03-07 16:30:00+00:00,1.08377,1.081932,1.085414,2025-03-07 16:48:00+00:00,1.085514,SL,-17.44
2025-03-07,base,short,2025-03-07 17:17:00+00:00,1.08413,1.081932,1.085414,2025-03-09 22:08:00+00:00,1.085514,SL,-13.84
2025-03-07,base,short,2025-03-10 11:04:00+00:00,1.08292,1.081932,1.085414,2025-03-10 11:04:00+00:00,1.085514,SL,-25.94
2025-03-07,base,short,2025-03-10 11:13:00+00:00,1.0842,1.081932,1.085414,2025-03-10 11:17:00+00:00,1.085514,SL,-13.14
2025-03-10,base,long,2025-03-11 06:20:00+00:00,1.08613,1.085502,1.084325,2025-03-11 06:20:00+00:00,1.085502,TP_samebar,-6.28
2025-03-10,reentry,long,2025-03-11 06:21:00+00:00,1.08613,1.086668,1.084637,2025-03-11 06:21:00+00:00,1.086668,TP,5.38
2025-03-11,base,short,2025-03-11 14:22:00+00:00,1.09043,1.089835,1.091281,2025-03-11 14:28:00+00:00,1.089835,TP,5.95
2025-03-11,reentry,short,2025-03-12 05:11:00+00:00,1.08941,1.088422,1.090949,2025-03-12 08:16:00+00:00,1.091049,SL,-16.39
2025-03-11,base,short,2025-03-12 12:34:00+00:00,1.0905,1.089835,1.091281,2025-03-12 12:34:00+00:00,1.091381,SL,-8.81
2025-03-13,base,long,2025-03-13 14:25:00+00:00,1.08631,1.087105,1.085377,2025-03-13 14:41:00+00:00,1.085277,SL,-10.33
2025-03-14,base,long,2025-03-17 09:57:00+00:00,1.08994,1.091479,1.088737,2025-03-17 12:44:00+00:00,1.088637,SL,-13.03
2025-03-19,base,long,2025-03-19 18:42:00+00:00,1.09102,1.091166,1.09023,2025-03-19 18:43:00+00:00,1.091166,TP,1.46
2025-03-19,base,long,2025-03-19 19:07:00+00:00,1.09094,1.091166,1.09023,2025-03-19 19:08:00+00:00,1.091166,TP,2.26
2025-03-19,reentry,long,2025-03-20 00:04:00+00:00,1.09157,1.092142,1.09049,2025-03-20 00:30:00+00:00,1.09039,SL,-11.8
2025-03-25,base,short,2025-03-25 16:26:00+00:00,1.08061,1.080243,1.081377,2025-03-25 17:06:00+00:00,1.081477,SL,-8.67
2025-03-26,base,long,2025-03-26 16:18:00+00:00,1.07867,1.079037,1.077975,2025-03-26 16:29:00+00:00,1.079037,TP,3.67
2025-03-26,reentry,long,2025-03-27 11:07:00+00:00,1.0796,1.080104,1.07827,2025-03-27 11:42:00+00:00,1.07817,SL,-14.3
2025-03-27,base,long,2025-03-27 16:07:00+00:00,1.07985,1.080786,1.078905,2025-03-27 17:17:00+00:00,1.080786,TP,9.36
2025-03-27,base,short,2025-03-28 09:21:00+00:00,1.07689,1.075979,1.07786,2025-03-28 09:42:00+00:00,1.07796,SL,-10.7
2025-03-27,base,long,2025-03-28 13:08:00+00:00,1.08036,1.080786,1.078905,2025-03-28 13:08:00+00:00,1.078805,SL,-15.55
2025-03-28,base,long,2025-03-28 14:01:00+00:00,1.08168,1.082179,1.080667,2025-03-28 14:18:00+00:00,1.082179,TP,4.99
2025-03-28,reentry,long,2025-03-28 14:20:00+00:00,1.08285,1.083571,1.081087,2025-03-28 15:11:00+00:00,1.083571,TP,7.21
2025-03-31,base,short,2025-03-31 15:33:00+00:00,1.08061,1.080244,1.081333,2025-03-31 15:35:00+00:00,1.080244,TP,3.66
2025-03-31,reentry,short,2025-03-31 15:56:00+00:00,1.07972,1.079158,1.081031,2025-03-31 16:26:00+00:00,1.079158,TP,5.62
2025-04-01,base,long,2025-04-01 14:09:00+00:00,1.08057,1.080482,1.079555,2025-04-01 14:09:00+00:00,1.080482,TP,-0.88
2025-04-01,reentry,long,2025-04-01 14:13:00+00:00,1.08103,1.081452,1.079813,2025-04-01 14:28:00+00:00,1.079713,SL,-13.17
2025-04-02,base,long,2025-04-02 20:28:00+00:00,1.08394,1.083309,1.082022,2025-04-02 20:28:00+00:00,1.083309,TP_samebar,-6.31
2025-04-02,reentry,long,2025-04-02 20:29:00+00:00,1.08536,1.084539,1.08238,2025-04-02 20:29:00+00:00,1.084539,TP,-8.21
