date_us_open,tag,side,entry_time,entry,tp,sl,exit_time,exit,reason,pips
2025-07-01,base,short,2025-07-01 14:01:00+00:00,1.17871,1.177911,1.179702,2025-07-01 14:22:00+00:00,1.179802,SL,-10.92
2025-07-02,base,short,2025-07-02 14:16:00+00:00,1.17542,1.17462,1.176176,2025-07-02 14:22:00+00:00,1.176276,SL,-8.56
2025-07-02,base,short,2025-07-03 13:20:00+00:00,1.17542,1.17462,1.176176,2025-07-03 13:25:00+00:00,1.176276,SL,-8.56
2025-07-03,base,short,2025-07-03 20:44:00+00:00,1.17549,1.173871,1.176368,2025-07-03 23:30:00+00:00,1.176468,SL,-9.78
2025-07-04,base,long,2025-07-04 15:39:00+00:00,1.17842,1.178974,1.177786,2025-07-04 16:00:00+00:00,1.177686,SL,-7.34
2025-07-04,base,short,2025-07-07 05:11:00+00:00,1.17648,1.175938,1.177126,2025-07-07 05:47:00+00:00,1.177226,SL,-7.46
2025-07-04,base,short,2025-07-07 06:07:00+00:00,1.17638,1.175938,1.177126,2025-07-07 06:30:00+00:00,1.175938,TP,4.42
2025-07-04,reentry,short,2025-07-07 06:32:00+00:00,1.17555,1.17488,1.176796,2025-07-07 07:09:00+00:00,1.17488,TP,6.7
2025-07-07,base,short,2025-07-08 11:29:00+00:00,1.17319,1.172737,1.173723,2025-07-08 11:53:00+00:00,1.172737,TP,4.53
2025-07-07,reentry,short,2025-07-08 11:54:00+00:00,1.17232,1.171777,1.173498,2025-07-08 12:03:00+00:00,1.171777,TP,5.43
2025-07-08,base,short,2025-07-08 14:05:00+00:00,1.16951,1.168646,1.170535,2025-07-08 14:22:00+00:00,1.168646,TP,8.64
2025-07-08,reentry,short,2025-07-08 14:23:00+00:00,1.16828,1.167019,1.170073,2025-07-08 15:14:00+00:00,1.170173,SL,-18.93
2025-07-08,base,long,2025-07-08 17:04:00+00:00,1.17223,1.17335,1.17146,2025-07-08 17:22:00+00:00,1.17136,SL,-8.7
